Numéro,Code-barres KPS,Etat échantillon sang + DRS (Liquide, Visqueux, Coagulé),Volume total échantillon sang + DRS (ml),RSC Run,RSC Position,Date,Exécuteur,Evaluation de l'échantillon extrait (Clair, Foncé, Echec),Rack,Rangée,Position
1,2401072,L,"2,9",1,1,6/05/2025,DIEUDO,C,A,A,1
2,2401079,L,3,1,3,6/05/2025,DIEUDO,C,A,A,2
3,2400846,L,2,1,5,6/05/2025,DIEUDO,C,A,A,3
4,2400831,L,"2,1",1,7,6/05/2025,DIEUDO,C,A,A,4
5,2402995,L,"1,6",1,8,6/05/2025,DIEUDO,C,A,A,5
6,2400807,L,"1,9",1,9,6/05/2025,DIEUDO,C,A,A,6
7,2402842,L,"2,4",1,10,6/05/2025,DIEUDO,C,A,A,7
8,2400904,L,"1,9",1,12,6/05/2025,DIEUDO,C,A,A,8
9,2402449,L,"1,6",1,14,6/05/2025,DIEUDO,C,A,A,9
10,2402970,L,"2,5",1,16,6/05/2025,DIEUDO,C,A,A,10
